data,ano,mes,mes_nome,trimestre,ano_mes
2011-01-01,2011,1,Jan,1,2011-01
2011-02-01,2011,2,Feb,1,2011-02
2011-03-01,2011,3,Mar,1,2011-03
2011-04-01,2011,4,Apr,2,2011-04
2011-05-01,2011,5,May,2,2011-05
2011-06-01,2011,6,Jun,2,2011-06
2011-07-01,2011,7,Jul,3,2011-07
2011-08-01,2011,8,Aug,3,2011-08
2011-09-01,2011,9,Sep,3,2011-09
2011-10-01,2011,10,Oct,4,2011-10
2011-11-01,2011,11,Nov,4,2011-11
2011-12-01,2011,12,Dec,4,2011-12
2012-01-01,2012,1,Jan,1,2012-01
2012-02-01,2012,2,Feb,1,2012-02
2012-03-01,2012,3,Mar,1,2012-03
2012-04-01,2012,4,Apr,2,2012-04
2012-05-01,2012,5,May,2,2012-05
2012-06-01,2012,6,Jun,2,2012-06
2012-07-01,2012,7,Jul,3,2012-07
2012-08-01,2012,8,Aug,3,2012-08
2012-09-01,2012,9,Sep,3,2012-09
2012-10-01,2012,10,Oct,4,2012-10
2012-11-01,2012,11,Nov,4,2012-11
2012-12-01,2012,12,Dec,4,2012-12
2013-01-01,2013,1,Jan,1,2013-01
2013-02-01,2013,2,Feb,1,2013-02
2013-03-01,2013,3,Mar,1,2013-03
2013-04-01,2013,4,Apr,2,2013-04
2013-05-01,2013,5,May,2,2013-05
2013-06-01,2013,6,Jun,2,2013-06
2013-07-01,2013,7,Jul,3,2013-07
2013-08-01,2013,8,Aug,3,2013-08
2013-09-01,2013,9,Sep,3,2013-09
2013-10-01,2013,10,Oct,4,2013-10
2013-11-01,2013,11,Nov,4,2013-11
2013-12-01,2013,12,Dec,4,2013-12
2014-01-01,2014,1,Jan,1,2014-01
2014-02-01,2014,2,Feb,1,2014-02
2014-03-01,2014,3,Mar,1,2014-03
2014-04-01,2014,4,Apr,2,2014-04
2014-05-01,2014,5,May,2,2014-05
2014-06-01,2014,6,Jun,2,2014-06
2014-07-01,2014,7,Jul,3,2014-07
2014-08-01,2014,8,Aug,3,2014-08
2014-09-01,2014,9,Sep,3,2014-09
2014-10-01,2014,10,Oct,4,2014-10
2014-11-01,2014,11,Nov,4,2014-11
2014-12-01,2014,12,Dec,4,2014-12
2015-01-01,2015,1,Jan,1,2015-01
2015-02-01,2015,2,Feb,1,2015-02
2015-03-01,2015,3,Mar,1,2015-03
2015-04-01,2015,4,Apr,2,2015-04
2015-05-01,2015,5,May,2,2015-05
2015-06-01,2015,6,Jun,2,2015-06
2015-07-01,2015,7,Jul,3,2015-07
2015-08-01,2015,8,Aug,3,2015-08
2015-09-01,2015,9,Sep,3,2015-09
2015-10-01,2015,10,Oct,4,2015-10
2015-11-01,2015,11,Nov,4,2015-11
2015-12-01,2015,12,Dec,4,2015-12
2016-01-01,2016,1,Jan,1,2016-01
2016-02-01,2016,2,Feb,1,2016-02
2016-03-01,2016,3,Mar,1,2016-03
2016-04-01,2016,4,Apr,2,2016-04
2016-05-01,2016,5,May,2,2016-05
2016-06-01,2016,6,Jun,2,2016-06
2016-07-01,2016,7,Jul,3,2016-07
2016-08-01,2016,8,Aug,3,2016-08
2016-09-01,2016,9,Sep,3,2016-09
2016-10-01,2016,10,Oct,4,2016-10
2016-11-01,2016,11,Nov,4,2016-11
2016-12-01,2016,12,Dec,4,2016-12
2017-01-01,2017,1,Jan,1,2017-01
2017-02-01,2017,2,Feb,1,2017-02
2017-03-01,2017,3,Mar,1,2017-03
2017-04-01,2017,4,Apr,2,2017-04
2017-05-01,2017,5,May,2,2017-05
2017-06-01,2017,6,Jun,2,2017-06
